id,area,room_type,accommodates,bathrooms,beds,min_nights,num_reviews,rating,price
2595,Midtown,Entire home/apt,1,1.0,1.0,30,49,4.68,150.0
5586,Upper East Side,Entire home/apt,3,1.0,1.0,4,45,4.9,295.0
5203,Upper West Side,Private room,1,1.0,1.0,2,118,4.91,75.0
6872,East Harlem,Private room,1,1.0,1.0,30,1,5.0,65.0
5178,Midtown,Private room,2,1.0,1.0,2,569,4.24,68.0
6990,East Harlem,Private room,1,1.0,1.0,30,243,4.88,62.0
67397,Harlem,Private room,2,1.0,1.0,30,105,4.79,150.0
29683,Lower East Side,Entire home/apt,3,1.0,1.0,30,118,4.76,155.0
9357,Hell's Kitchen,Entire home/apt,2,1.0,1.0,30,58,4.52,175.0
9704,Harlem,Private room,2,1.0,1.0,30,98,4.89,55.0
31130,Hell's Kitchen,Private room,1,1.0,1.0,1,68,4.87,120.0
68735,Upper West Side,Entire home/apt,2,1.0,1.0,14,36,4.97,195.0
31555,West Village,Entire home/apt,2,1.0,1.0,30,32,4.71,120.0
12192,East Village,Private room,2,1.0,1.0,7,291,4.38,70.0
68974,Nolita,Entire home/apt,6,1.0,3.0,2,236,4.86,596.0
33156,Upper West Side,Entire home/apt,2,1.0,1.0,120,20,5.0,139.0
69894,Upper West Side,Entire home/apt,2,1.0,1.0,30,62,4.82,160.0
71010,Washington Heights,Entire home/apt,5,1.0,3.0,4,40,4.97,325.0
36647,East Harlem,Private room,2,1.0,1.0,7,73,4.75,85.0
36703,West Village,Entire home/apt,2,1.0,2.0,10,142,4.91,200.0
71248,Chinatown,Entire home/apt,2,1.0,1.0,28,60,4.79,171.0
71366,Greenwich Village,Entire home/apt,2,1.0,1.0,30,44,4.83,200.0
38833,Harlem,Entire home/apt,2,1.0,1.0,7,154,4.81,150.0
15341,Lower East Side,Entire home/apt,3,1.0,2.0,21,33,4.56,160.0
72190,Upper West Side,Entire home/apt,2,1.0,2.0,30,37,4.51,110.0
15396,Chelsea,Entire home/apt,4,2.0,2.0,90,5,5.0,400.0
16580,East Village,Private room,2,1.0,1.0,1,490,4.79,85.0
74333,East Harlem,Entire home/apt,3,1.0,2.0,30,40,4.03,93.0
16821,East Village,Private room,1,1.0,1.0,2,171,4.71,111.0
42300,Lower East Side,Entire home/apt,4,2.0,2.0,5,73,4.8,750.0
16974,East Harlem,Entire home/apt,8,2.0,6.0,5,270,4.84,250.0
17037,East Village,Entire home/apt,2,1.0,1.0,30,53,4.8,220.0
74821,Harlem,Entire home/apt,5,1.0,2.0,30,47,4.67,149.0
43105,Midtown,Entire home/apt,2,1.0,1.0,30,4,5.0,185.0
17693,Washington Heights,Private room,2,1.0,2.0,2,65,4.89,85.0
18152,Upper East Side,Private room,2,1.0,1.0,30,148,4.41,200.0
75635,Lower East Side,Entire home/apt,3,1.0,1.0,3,372,4.83,175.0
18728,Chelsea,Private room,3,1.5,1.0,4,235,4.95,195.0
18961,Kips Bay,Private room,2,1.0,1.0,30,1,5.0,95.0
45542,Harlem,Entire home/apt,4,1.0,2.0,30,18,4.78,100.0
80493,East Village,Private room,2,1.0,2.0,2,220,4.37,55.0
21456,Upper West Side,Private room,2,1.0,1.0,30,85,4.69,88.0
21644,Harlem,Private room,1,1.0,1.0,30,3,5.0,99.0
21794,Chelsea,Private room,2,1.0,1.0,30,36,4.97,85.0
45936,Morningside Heights,Private room,2,1.0,1.0,31,136,4.65,75.0
23686,West Village,Entire home/apt,4,2.0,3.0,5,59,4.41,700.0
82638,East Village,Entire home/apt,2,1.0,1.0,30,278,4.79,139.0
51438,Upper East Side,Private room,1,1.0,1.0,14,0,,130.0
25696,Harlem,Private room,2,1.0,1.0,1,190,4.75,100.0
54466,Harlem,Private room,2,1.0,1.0,30,0,,200.0
