host_id,host_name,latitude,longitude,accommodates,beds,minimum_nights,number_of_reviews,review_scores_rating,room_type,neighbourhood_cleansed,price
110361431,Bobbi,40.69085,-73.93806,1,1,30,29,4.48,Private room,Bedford-Stuyvesant,100000.00
110361431,Bobbi,40.69254,-73.93636,2,1,30,9,4.33,Private room,Bedford-Stuyvesant,100000.00
1261480,Doungrat,40.80616,-73.95111,8,11,3,0,,Private room,Harlem,20500.00
326084746,Suiteness,40.719132,-73.999874,2,1,1,0,,Private room,SoHo,19429.00
326084746,Suiteness,40.719132,-73.999874,2,2,1,0,,Private room,SoHo,19429.00
326084746,Suiteness,40.719132,-73.999874,4,2,1,0,,Private room,SoHo,19429.00
326084746,Suiteness,40.75284,-73.98095,4,2,1,0,,Private room,Midtown,19286.00
72390391,Jelena,40.77184,-73.98835,4,1,30,0,,Entire home/apt,Upper West Side,10000.00
266741420,The Allen Hotel,40.71918,-73.99123,2,1,1,0,,Private room,Lower East Side,10000.00
298338860,The Gregory Hotel,40.75088,-73.98644,2,1,30,1,3,Private room,Midtown,10000.00
34906299,Teresa,40.7046119,-74.01671224,6,4,30,0,,Entire home/apt,Battery Park City,10000.00
76166434,Joel,40.76469375,-73.98268838,16,1,30,0,,Entire home/apt,Midtown,10000.00
58480311,Sarah,40.76128,-73.93141,4,2,30,28,4.14,Entire home/apt,Long Island City,10000.00
172226912,Rom,40.74931,-73.9783,1,5,40,10,4.5,Shared room,Murray Hill,10000.00
298338860,The Gregory Hotel,40.74924,-73.98722,2,2,30,5,3.4,Private room,Midtown,10000.00
76166434,Joel,40.76554,-73.98293,16,,30,0,,Entire home/apt,Midtown,10000.00
298338860,The Gregory Hotel,40.74863,-73.98493,2,1,30,3,3.33,Private room,Midtown,10000.00
21939817,Julie,40.74249,-73.95236,2,1,30,0,,Private room,Long Island City,10000.00
57586379,Chris,40.70641,-74.0092,2,1,30,1,5,Entire home/apt,Financial District,10000.00
252866861,UrbanDomus,40.76461,-73.96459,8,5,31,0,,Entire home/apt,Upper East Side,9999.00
